Data in,Data Out,Luogo
01/02/2020,02/02/2020,Bolzano + Valdurna - Immersione sotto i ghiacci
10/07/2020,11/07/2020,Portovenere (SP)
06/11/2020,08/11/2020,Porto Santo Stefano (GR)
10/07/2021,12/07/2021,Porto Ercole + Isola di Giannutri (GR)
19/11/2021,21/11/2021,Porto Santo Stefano (GR)
05/02/2022,,Y-40
30/05/2022,,Rapallo
18/06/2022,25/06/2022,Sharm El Sheik . Egitto - Crociera Mar Rosso
07/08/2022,,Bagni di Lucca
08/10/2022,,Talamone
10/11/2022,12/11/2022,Porto Santo Stefano (GR)
02/12/2022,,Y-40
14/01/2023,22/01/2023,Maldive - Crociera
28/04/2023,01/05/2023,Porto Santo Stefano (GR)
02/12/2023,,Y-40
19/01/2024,,y-40 notturna
21/04/2024,,Y-40
11/05/2024,13/05/2024,Elba
24/05/2024,26/04/2024,Porto Santo Stefano (GR)
07/06/2024,,Livorno
19/07/2024,21/07/2024,Capraia
11/10/2024,13/10/2024,Noli
01/12/2024,,Y-40
17/01/2025,,y-40 notturna
07/02/2025,17/02/2025,Malapasqua (Filippine)
12/04/2025,,Y-40
15/04/2025,,Camera Iperbarica Quarto Inferiore
16/05/2025,18/05/2025,Elba
13/06/2025,16/06/2025,Giglio
12/07/2025,,Portofino
